a,b,c,d,e
535	fet Lancelos ne fu cil molt haus princes a cui l en fist,Ne feust pas cest cheualier hault prince a,Que no viniese alo sacar Agora me deçid dixo lançarote quien fue este tan Rico prinçipe,& ne fu cils cheualiers moult haus homs a,disse Lancellotto|non è quelli molto alto principe a cui l uomo fece
536|537	si haute sepulture|? — Sire font cil haus hom fu il,qui len feist ceste sepulture|Sire font ilz ce fust ung hault homme,que yaze entan rrica sepultura Señor Dixeron ellos Mucho fue alto ome,qui on fist ceste sepulture|Sire font il haus homs fu il,si ricca sepoltura||dicono elli|alto huomo fu elli
	,,,,e ricco
	,,,,e con tutto
538	et riches; avec ce qu il fu haus hom fu il li plus preudom,et riche|auec ce fust le plus preudomme,e el|mas noble,et riches|Et auec chou fu il li plus preudoms,che fu alto huomo de più del mondo|fu elli el più produomo
539|540	qui onques fust a son tens|— Ha Diex fet Lancelos,qui onques fust en son temps|Haa dieux fait lancelot,Que nunca fue visto ay dios dixo lançarote quien fue señor dixeron ellos,qui fust a son tamps|Ha : diex fait lancelos,ch unque fosse a suo tempo|—Ha|!|Iddio|disse Lancellotto
541|542	qui fu il|?— Sire font il se vos conoissiés letres veoir le porriés,qui fust il|Sire font ilz sy uous cengnossies lettres bien pouries scauoir|qui il fust,si sabedes leer vien podedes saber quien es,qui fu il|Sire font il se vous connissies point de lettres vous poes bien sauoir,chi fu elli|se vo' conoscete lettere|sapere il potete per tempo
	,,,,? — Sire
	,,,,dicono elli
543	kar ses nons est escris el chief de cele lame,car son nen est escript au chief de celle lame,el que aqui yaze|que ala cabezera dela su tumba lo fallaredes escrito,qui il fu|Car ses nons est escris el chief de ceste lame,ché suo nome est scritto nel capo di quella lama
544|545	Lors va Lancelos cele part|si regarde les letres,lors ua lancelot celle part sy treuue les lettres,e lançarote se fue ala cabeça dela tunba|e fallo las letras,ors uait lancelot cele part|et trueue les lettres,Iiol Allor va Lancellotto in quelle parti|si riguarda le lettere grandi
	,,,,e spatiose
	,,,,formate di fino oro
	,,,,che dicieno
	,,,,: “Qui giace Galeotto
546	qui dient Ci gist Galehout li fiz a la Jaiande li sires des Lointaignes Isles a,qui disoient|Icy gist gallehault le filz a la gayande,que deçian aqui yaze galeote el fijo dela fermosa Jaiana,qui disoient|Chi gist Galehols li fils a la bele iaiande li sires dez lontaignes illes,il figliuolo della Bella Gigante|il signore de lLontane Isole
547	qui por l amor de Lancelot morut,qui pour lamour de lancelot mourust,que por amor de lançarote murio,qui por lamor de lancelot del lac morut,che per l amore di Lancellotto mori
548	Et quant il vit ce,et il uoit ce,,Et quant il voit chou,
549|550	si chiet pasmés|et gist grant piece a terre sans mot dire;,si chiet pausme|et geust grant piece a terre sans mot dire,e quando lançarote ovo las letras leydo cayo amorteçido en tierra,si chiet a terre tous pasmes|et iut grant piece sans dire mot,si cadde ispasimato|e giacque gran peza a terra sanza motto dire
551	et li chevalier le corent relever,et les cheualiers le courent releuer,e estubo,Et li cheualier coerent a lui|por e lui releuer,E cavalieri il corsono a rilevare
552|553	si se merveillent molt qu il puet estre|Et quant il revint de pasmison,si se merueillent|qui il peult estre|Et quant il est leue de paumoisens,ansi gran pieça,qui moult sesmerueillent|qui il poet estre|Et quant il est reuenus de pasmisons,si si maravigliarono molto tutti chi egli può essere|e quand e' può rivenire di spasimagione|si grida
	,,,,A
554|555|556	si s escrie Ha las!|Quel dolor|et quel damage,si se escrie|et dist|Helas quelle douleur,que no pudo fablar|e que daño,si dist ha : diex|quel doel|et quel damage,!|lasso|qual dolore|e quale damaggiob
	,,,& quel anui,
	,,e los caualleros fueron ael porlo leuantar,,
	,,e mucho se marauillauan,,
	,,que podia Aquello ser,,
	,,e quando lançarote acordo començo a dar vozes,,
	,,e a dezir ay,,
	,,que duelo,,
557|558	Et lors fiert l un poing en l autre|et esgratine son viaire,quel ennuy,e luego començo a dar del vn puño enel otro|e a rrascar el Rostro,Lors fiert lun poing sor lautre|et esgratine son visage,Allor fiede l uno pugno a l altro|e sgraffia suo viso
559|560	si qu il en fet le sanc salir de totes pars|si se prent as chevels,et quel dommage,asi que la sangre le salia|por todas partes|e a mesar sus fermosos cabellos,si quil en fait le sanc saillir|Si se prent par ses cheueus,sicché ne fa il sangue salire di tutte parti|e si prende|e dirappa|e be' capelli
561|562	et se fiert grans cops del poing en mi le front|et en mi le pis,lors se tourne a part,e a darse puñadas grandes enel rrostro|e enlos pechos,et se fiert del poing grans cops en mi le vis,e si fiede gran pugni nel miluogo della faccia|e nel miluogo del petto
563|564	et crie|si durement qu il n i a celui,et pleure|et crie monlt durement,e a dar tales vozes,et pleure|si durement|que il ni a celui,e grida|si duramente|che non v à colui
565|566	qui tote pitiés n en preigne;|si se laidenge,si que cest pitie de le uoir,que todos auian piedad del,qui nen ait pitie|Si laidenge,che tutta piatà non abbia|Si si ladeggia
567	et maldit l ore qu il fu nes,et mauldit leure|qui fust onques ne,e maldeçia el dia en|que fuera nasçido,& maudist leure|que il onques fu nes,e maladice l ora|che fu nato
568	et dit Ha Diex !,et dit|Haa dieux,e deçia ay,,e dice|: Al
569|570|571|572	Quel damage|quel perte del plus preudome del monde|qui mors est|por le plus vil chevalier,quel dommage|et quelle parte du plus preudomme du mende,que duelo|e que daño morir el mejor ome del mundo porel|mas mal Cauallero,quant si preudoms est mors pour lui Moult fait lancelot grant doel|& grant cri,quale damaggio|e quale perdita del produomo del mondo|ch è morto per lo più malvagio cavaliere del mondo
573|574	et por le plus malvés|qui onques fust ! Tant fet Lancelos grant duel,,e mas malauenturado|que enel es Mucho fiço lançarote gran llanto|e daua tales vozes,&,e ch unque fosseb|anto fa Lancellotto gran duolo
575|576|577|578	que tuit cil de laiens le vienent regarder a merveille;|si li demandent|qui il est|et il ne puet mot dire ains crie totes voies,ceulx de leans le regardent a merueilles|ains crie,que todo el mundo lo cataua|e se marauillaua del|e preguntaronle|como auia nombre|mas el no podia Responder Ante daua vozes,tant que cil de laiens le regardent a meruelles|Si li demandent|qui il est|Et il ne lor pot mot dire ains pleure toutes voies,che tutti que di là entro el vengono a risguardare a maraviglia|sillo domandano chi egli è|ed e' non lor può motto dire|anzi grida tuttavia
579	et se debat,et se debat,e gritos todavia,et se debat,e si dibatte
	,,,,e si ditira
580|581|582	et descire|Quant il a son duel demené grant piece|si regarde les letres,et deschire|et apies qu il a son deul demene grant piece il regarde les lettres,e desque el fiço su duelo gran pieça cato las letras otra vez|e quando vio,& deschire|Et quant il ot grant piece son doel mene|Si regarde les lettres,e si distorce||sicché tutto est lasso|elli isguarda le lettere
583	qui dient,qui dient,que deçia,qui dient,che dicieno
584|585	que por lui est mors Galehout;|si dist,que pour luy mourust galle|Si dist,Que Porel hera Muerto dixo,que pour lui morut Galeholt|Lors dist,che per lui era morto Galeotto|e potesse huomo vedere isbigotito|e sperduto
	,,,,si s à fedito di molti gran colpi nella faccia
	,,,,ma nella fine dice elli
586	que or seroit il trop malvés s il ausi ne moroit,que ores seroit bien mauuais sil ne mouroit pour luy,que asaz seria mal auenturado|si porel no muriese,que trop seroit maluais sil ne moroit Ie aussi pour lui,che or|si tiene elli troppo malvagio
587	por lui:si saut maintenant jus des prones,Si sault hors du prosne,e luego se partio dende,Si saut maintenant hors dez prones,|Si salta immantanente fuori del chiuso
588|589	et pensa qu il iroit querre s espee|et qu il s en ocirroit,et dist|que il yra querir son espee|et que il se occira,e fuese buscar su espada,et pense quil yroit querre sespee|et quil sen ochirra,e disse|ch elli andrà a chiedere sua spada|e disse|che se n ucidrà
590	kar ausi avoit ele esté Galehout a,quant ainsy est galle|mort pour lui,para se matar conella,,ch altresi avea ella stata di Galeotto
591|592	Et maintenant qu il fu issus del mostier|si encontra une des damoiseles del Lac cele,et a lissue du menstier il encentra une des damoiselles a la dame du lac celle a,e luego el sabiendo Dela yglesia encontro con vna donzella dela dueña del lago aquella,Et maintenant quil fu hors del moustier|si encontra la damsolisele sa la damel del lac|Cele,E mmantanente|ch elli fu uscito del monistero|sì incontrò una damigella di Lac|quella
593	qui a Boort avoit parlé devant le chastel de Honguefort,qui boort auoit parle au chastel de honguesfort,que fallo con Boores ante el castillo de ongeforte,qui a bohort auoit parle deuant le castel de hongrefort|",che a Boordo avea parlato davanti il castello d Unguelforte|;
594|595	et ele le conuit bien|si le prent par le pan de la cote,et celle le print par le poing,e ella lo conoçio|e trauole dela mano,et elle le connoist bien|si le prent par le poing,e ella il cognoscea bene|si l prende per lo panno della cotta
596|597	et l areste|Qu est ce,et le arreste|quoy fait elle ou alles uous ainsy|Haa damoiselle fait il laissies moy mes douleurs parfournir,e tirolo contrasi,& lareste,e l aresta|
598|599|600	? fet ele|Ou alés vos ensi|? — Ha damoisele fet il laissiés moi mes dolors finer lkar jamés n avroie joie ne repos en cest siecle,car ia|mais ne auray ioie ne repos en ce siecle,e dixole ado ydes vos|asi ay donçella dixo lançarote dexadme mis dolores acabar,Que est che fait elle ou ales vous ensi|ha : damoisele fet il laissies moi mes dolors acomplir|Car iamais naurai ioie ne repos,?|diss ella|Ove andate voi insi|lasciateme mio dolor finire|ché giamai non arò gioia né pace in questo secolo
	,,,,: — Hal
	,,,,diss elli
	,,,en cest siecle,
601	— Parlés fet ele a moi,Parles a moy fait elle,que jamas no abre plazer ni folgura eneste mundo fablad conmigo dixo la donçella,parles a moi fait elle,—Parlate a me|!
	,,,,disse ella
	,,,,ed
602|603	Et il ne li dit mot ains se lance outre|si qu il li eschape des mains,et il ne luy respent mot ains se lance oultre|si que il luy eschappe des mains,e el no le rrespondio palabra antese escapo dela mano,Et il ne respont nul mot|ains se lance outre|si quil li escape des mains,e non le fa motto|anzi|si lancia oltre|si che lle ismuccia delle mani
604	Et quant ele l en vit aler,et quant elle le uoit ainsy aller,e se fue,Et quant elle len voit ainsi aler,Equand ella ne l vide andare
605|606	si li crie Je vos deffent fet ele par la rien|que vos plus amez en cest monde,si dist|Sire ie uous deffens de par la riens|que plus aimes,e quando la donçella esto vido dixole señor yo vos defiendo porla cosa del mundo,Si dist|Sire iou vous desfent par la riens|que vous plus ames en chest siecle,si llo grida|d vo difendo|diss ella|per la cosa|che vo' più amate nel mondo
607	que vos n ailliés avant,que uous ne alles en auant premier,que mas amades|que no vaiades,que vous nales auant deuant,che vo non andiate più avanti infino a
608	tant que vos aiés parlé a moi,que aies parle a moy,mas adelante fastaque fabledes conmigo,que vous aies parle a moi,tanto che vo' non avete parlato a meb
609|610	Et il s areste|si la regarde,et il sarreste|si la regarde,e lançarote se detubo,Et il sareste|et le regarde,Ed e' s aresta|si lla risguarda
611|612	et quant il la conut|si li dist,Et il la congnoit il dist,luego e la cato tanto|que la conoçio,& le connoist|& li a dit,e quand e' la conosce|si dice
613|614	que bien soit ele venue|En non Dieu fet ele vos me deuissiés fere plus bele chiere,que bien soit elle uenue|Eu nen dieu fait elle uous me deussies faire plus belle chere,e dixole donçella vien seades venida Pardios dixo ella vos deuedes fazer,que bien soit elle venue En Non dieu sire fait elle vous me deussies faire plus bele chiere,che bene sia ella venuta|A nome di Dio|diss'ella
615|616|617|618	que vos ne me fetes al mains|por ce|que je sui messages vostre dame del Lac|— Ha damoisele fet il,que uons ne faictes au moins pource|que ie suys a uostre dame du lac|damoiselle fait il ne uous desplaise,mas alegre cara de|Quanto façedes|Por quanto yo so mensaxera devuestra señora la donçella del lago dixo el non vos pese,que vous ne faites|Au mains pour ce|que iou sui a ma dame del lac|la vostre dame Damoisele fet lancelot or ne vous poist,vo mi dovreste fare più bella cera|che vo' non fate|ch almeno sono io messaggio di vostra dama di Lacco|! —Hal|damigella
	,,,,per Dio
619|620	por Dieu ne vos poist certes je ai tant de dolor|que nus for Diex ne me porroit conforter ne a ne cuidiés,et ne cuidiez pas,ca no cuidedes,& ne quidies mie,non vo ne pesil Certo|i ' ò tanto dolore|che nullo fôrse lddio non mi potrebbe riconfortare|né non credere passo
621|622	que jamés aie joie|por aventure,que iamaiz iaie ioie pour auanture,que jamas aya yo plazer ni alegria|por auentura,que iou aie iames ioie|pour auenture,ch io giamai abia gioia per aventura
623|624	qui me puist avenir|— En non Dieu fet ele,qui me puisse aduenir|Eu nen dieu fait elle,que me venga Pordios dixo la donçella,qui me puist auenir|Enon dieu fet elle,che possa avenire|—eA nome di Dio|diss ella
