a	b	c	d	e
1108	Quant mesire Gauvain l entent			Quando monsignor Galvano lo ntende	Et quãt monsieut gau uain lentẽt
1109|1110|1111	si se merveille molt|qui il puet estre;|si relace molt tost son hialme	si sesmerueille trop durement|qui cil puet estre|Si relache son heaume|& prent vne lance	e quando don galuan esto oyo fue marauillado quien podria ser|e enlaço su yelmo	si si maraviglia molto chi e' può essere|;|si rilaccia molto tosto suo elmo	si se merueille|que ce peult estre sy lache sonheaulme
				e prende una lancia	
1112	et prent une lance la plus fort qu il pot trover	la plus grande|& la plus forte	e tomo vna lança la|mas fuerte	la più forte|che può trovare	et prent une lance la plus forte quil peult trouuer
1113	si vient bruiant as rens	que il puet trouer	que pudo fallar	e se ne viene bruiando nello aringo	sy uint tout brupant au tournoiement
1114|1115	et encontre le chevalier vermeil|qui avoit lance recovree e	sivint encontre le cheualier vermeil	e metiose a muy derreçio enel torneo y encontrose conel cauallero vermejo|que auia ya vna lança quebrado|e luego	e ncontra el cavaliere vermiglio|ch avea una|lancia ricoverata	et encontre le cheualier uer¬ meil|qui auoit lance recouuerte
1116|1117	Et si tost com il s entrevirent|si muet li uns vers l autre	Et si tost comme il sentreuirent|point li vns vers lautre	como se vieron dexaronse yr el vno contrael otro	si tosto come|si travidono|si mosse l uno incontro all altro	si coururent sus lun alautre
1118	et li cheval furent fort		e los cauallos heran fuertes	e cavalli in su|che ciascuno sedeva furono forti	et sentrefierẽt sur leurs escus
			e corredores		
			e juntaronse muy ayna		
1119	et bien corant		e firieronse	e tosto andanti	si duremẽt
1120|1121	si vindrent tost|Et li chevalier furent de grant pooir a		ansi fuertemente sobrelos escudos quelas lanças bolaron en pieças|mas no derribo el vno al otro antes pasaron porsi muy derechos enlas sillas Como el cauallero vermejo dize la historia derribo a don Galuan enel torneo|e como don galuan lo yua a Buscar Mucho fue pesante don galuan|porque no derribo el cauallero y en verdad vien tanto lo fue pesante el cauallero	si si trasgiunsono tosto|e snellamente|seg cavalieri furono di gran podere	que les lances uollerent en pieces mes ne chapt ne lun ne laultre
			porque no derribo a don galuan mucho se tubo		
1122|1123	si s entreñerent|si durement sor les escus	Si sentrefierent molt durement	por desonrrado|e dieronse muy grandes golpes	si si trafedirono sopra gli scudi|si duramente	ains sen pas¬ serent oultre|mõsieur gau
			e todos quantos aquella justa vieron dixeron		
			que mucho heran aquellos dos caualleros de gran proeza		
			e los caualleros tomaron otras sendas lanças y endereçaronse el vno contrael otro		
			e dexaronse correr contrasi pormedio dela prisa		
			ca bien les façian lugar		
1124	que les lances volent en pieces; mes ne chaï ne li uns ne li autres ains s en passent outre tuit afichié	si que les lances volent em pieces|mais il ne cai ne li vns ne li autres	por medio delos escudos|ansi quelos fierros pasaron ellos porlas lorigas	che lle lance volarono in pezi|ma non cadde l uno né l altro	fut monlt dollẽt quil ne auoit le cheualier abatu|encore en fut laultre cẽt foys plus dollẽt
				anzi se ne passano oltre tutti afficcati	
					
				che non à el cavaliere abatuto	
1125|1126|1127|1128	Se mesire Gauvain est dolens de ce qu il n a le chevalier abatu cil est cent tans i plus dolans de ce qu il n a abatu mon seignor Gauvain;|si en est|si honteus qu il ne set qu il doie devenir|Et tuit cil	si fu mesires Gauuain moult dolans de chou quil nauoit le cheualier abatu|Et encore en fu cil plus dolans|de chou quil ner lot abatu|si en est|si honteuls quil ne set|que dire|Et tout cil	e llagaron las carnes|mas no ovo y tal dellos	quelli n è cento cotanti più dolente di ciò|che non à abatuto monsignor Galvano|si è|si dolente|che non sa|che ssi debba fare|	de ce quil nauoit abbatu mõsieur gau|si en est tant hõteux qͥl ne scait quil doibt faire|et|tant que ceulx qͥla iouste ont ueue
1129|1130	qui la joste ont veue dient|que molt sont li dui chevalier de grant proesce	qui la iouste orent veue dient|que moult sont li cheualier de grant proece	que mucho fuese llagado	che lla giostra ànno veduta dicono|che molto sono i due cavalieri di gran prodeza	dient q̃ monlt sont les|ii|che ualiers de grande prouesse
1131|1132|1133	Et il reprenent lances;|si s adrece li uns vers l autre par mi les rens|qui bien lors estoient delivre e ;	Et cil reprendent lances noueles|et se radrecent li vns vers lautre	e toparonse delos cuerpos	Ed e' riprendono molto tosto lance|si s adrizano l uno inverso l altro per me' gli aringhi|che bene furono loro diliveri|;	Il reprindrẽt lan ces|et se adrecha lun encõtre saultre
1134|1135|1136	si se refierent|si grans cops qu il se metent par mi les escus|et par mi les haubers les glaives trenchans	si sentrefierent|si grans cops quil sentremettent lez fers des glaiues parmi les chars blances	e delos yelmos envno tan fuertemente|que las çeruizes se ouieron de quebrar	si si trafedirono|si gran colpi|che si rimisono per me gli scudi|e per me' gli asberghi le lance trincanti	si sentre¬ fierent|si grãs coups quilz sentremettent les fers des glaines parmy les escus
1137|1138|1139	mais il n i a celui|qui gaires soit navrés|	mais il nen y ot nul|qui gaires fust naures	ansi que apenas se ouieran de tener enlas sillas	ma e'non v à colui|che guari sia brisciato|IIj|Si si trapercuotono di corpi	mes il npa celluy|qui gueres soit naure|si sentreheuriẽt des corps
1140|1141	et des visages|si durement qu il n i a celui a cui li cervials ne soit	si sentrehurtent	e fincaron muy estordidos	e di visaggi|si duramente|che non à colui a cui le cervella non sieno	⁊ des uisaiges tãt quil npa cellup a quile ceruel ne soit trouble
1142|1143	si trobles|que a paines se pueent il tenir as arçons;	si durement|que a grant paine sont demore es archons	mas mucho	si turbate|ch a pena|si possono elli tenere in arcioni	si q̃ a paine se peu rent tenir es archans
1144|1145	mais trop est mains grevés li chevaliers|que mesire Gauvain	si ont depechiet lor|? glaiues aussi comme deuant	mas fue llagado el Cauallero|que don galuan Mas	Ma troppo est meno graVato el cavaliere|che monsignor Galvano	mes trop est maĩs gre¬ uele cheualier q̃ mõsieur gau
1146|1147	si revient tost de l estordison|et prent une grosse lance tote la plus forte qu il pot avoir	Yors reprendent ambedoi noueles lances li cheualier moult fortes	quando los caualleros tornaron ensi tomaron sendas lanças las	si riviene tosto della stordigione|e prende una lancia grossa|e tutta la più forte	Ey uiennent tous de estourdison|et prẽt chascun une lance la plus forte quil peult auoir
				ch elli può avere	
1148|1149	Et autretel fist mesire Gauvain|qui encore estoit tos estordis ;	et moult roides	mas fuertes|que pudieron fallar	Altrettale fece monsignor Galvano|ch ancora era tutto stordito	
1150|1151	si point li uns vers l autre|por fere la tierce joste	si repoint li vns encontre lautre|por faire la tierce iouste	e fue el vno contrael otro|por justar la terçera vez	si pugne l uno inverso l altro per fare la terza giostra	si poignẽt lun cõtre laultre
1152	et se fierent par mi les escus;	Si sentrefierent parmi les escus	e firieronse pormedio delos escudos	e si fegono per me gli scudi|;	
1153	si brise mesire Gauvain son glaive	Si brise mesires Gauuain son glafilue	e quebro don galuan su lança	si spezò monsignor Galvano sua lancia	si q̃ mõsieur gau|brise son glai¬ ue
1154	Et li chevaliers le fiert de	Et li cheualiers le fiert	e el cauallero lo firio	e l cavaliere el fiede di	et le cheualier le fiert de
1155|1156	si grant force|que il le porte del cheval a terre tot envers	si durement|quil le porte del cheual a terre tout enuers	ansi detan gran fuerça|ansi quelo derribo del cauallo a tierra	si gran forza|ch elli el portò del cavallo tutto rovescio	si grant force quil se porte du cheual a terre tout enuers
				; poscia se ne va oltre per fornire suo tro	
				ma e' non trovarono né huomo né femina	
				anzi vidono la capella vecchia	
				e antica	
				sicch	
				e muri n erano fessi	
				e crepati	
				altresi come tutti fracidi	
					
				si lla trovarono guasta	
				e diserta	
				e vidono per di dietro uno piccolo uscio	
				ch entrava in uno grande cimitero	
				Ma intra l altare	
				e 'l cimitero avea una gran tomba di marmo vermiglio	
				che v avea lettere bianche	
				portratte molto sottilmente	
				eElli isguardano le lettere molto gran peza	
				e dicono	
				che per niente non sono elli venuti in quelle parti	
				ché sanza aventura non	
				si partiranno elli oggimai	
					
				che dicieno	
				: O tu	
				cavaliere erante	
				che vai cheggendo aventure	
				guarda	
				che già non ti metta in questo cimitero per l aventure di qua entro menare a capo	
				ché tu sè certo	
				che ciò sarebbe pena guasta	
				se tu non sè el cativo malauroso cavaliere	
				che sperl sua malvagia lussuria à perdute ad acivire l alte aventure del Graal ove non potrà giamai ricoverare	
				!	
					
				si maravigliano molto amenduni i compagnoni	
				e dicono cehe non intendono mica trabene le lettere quello vogliono dire	
				ché troppo scuramente parlano	
1157|1158	puis s en vient outre|por parfere son poindre	puis sen uait outre|por faire son poindre	e despues|por façer todo su poder	; “e nonperquanto|molto|anzi|si parte della capella tutto crucciato	et pups sen ua oul tre pour faire son poĩdre
				si maraviglia monsignor Galvano chi el cavaliere può essere	
				che per sua luxuria à perduto	
				si alto onore come acvire l aventure del Santo Graal	
				si l volesse volentieri conoscere	
					
				che delle aventure del cimitero non	
				si terrà elli mica del vedere	
					
				e Astore	
				e vidono al capo del cimitero una tomba	
				che ardea troppo duramente	
				e fiamicava	
				si chiaro	
				che lla fiama ne saliva incontramonte più d una asta d una lancia	
				E tutto intorno a quella tomba avea tombe insino qua a dodici	
				che non ardieno mica	
				si avea in su ciascuna una spada	
				dirizate le punte contro a monte	
				l ipi questa aventura	
				si maraviglia molto monsignor Galvano	
				e Astor	
				;	
				e quando egli ebono molto le tombe riguardate	
				si disse monsignor Galvano ad Astore	
				: ePer mi capo	
				vedete qui la più maravigliosa aventura	
				ch i' ma' vedesse	
				!l Or conviene	
				che meglio cadente di tutti	
				Allor fa maraviglioso duolo	
				e Astor	
				che molto n à gran piatà	
				gli disse per lui riconfortare	
				: Al	
				sire	
				vo' non ismagate mica insi	
				ché non è mica ancor nato el cavaliere a cui e' non misavegna alcuna fiata in alcuna cosa	
				e perciò non dovete vo' mica esser	
				si crucciato	
				Allor gli trae l elmo della testa molto dolcemente per lo vento ricogliere	
				e lascia giacendo allato alla tomba	
				; poscia prende suo scudo	
				e trae la spada	
				ed entra nel cimitero	
				e va a gran passo imnverso la tomba ardente	
				eMa e' non à guari andato inanzi	
				quand e'	
				si sente fedito	
				sopra suo elmo	
				e sopra suo scudo	
				si gran colpi	
				che cade in terra tutto istordito	
				;ma e'si rilieva molto vistamente	
				come colui	
				che molto era visto	
				e di gran vassellaggio	
				ma quand	
				e	
				si crede del tutto dirizare in suo stante	
				si l conviene a terra rifrattire	
				ché non	
				si può mantenere contro alla quantità de colpi	
				che sopra lui discendono	
					
				si stornato	
				che non à podere di sé ridrizare inulla maniera	
				anzi giace in terra altresi come morto	
				l Ese monsignor Galvano avea stato batuto né difollato	
				ancor fu elli peggio	
				ché più vi dimorò	
				che monsignor Galvano non fece	
				;	
				si si ritrovò all uscio della capella	
				Allor fu elli troppo isbigotito	
				ma più non poteva fare	
				ché tanto era lasso	
				e travagliato	
				ch a pena a pena potea egli gli occhi aprire	
				e vide all entrate dell uscio une lettere	
				che dicieno	
				:SeGià nullo interrà in questo cimitero	
				ch a onta non se ne parta	
				infino a tanto	
				ch aventura ci menerà il figliuolo della Reina Dolorosa	
				Allor mostra Astor a monsignor Galvano le lettere	
				ed e' le risguarda	
				e disse	
				che di tutto quel brieve non poteva elli nulla sapere né intendere	
				ché troppo parlavano oscuramente	
				e ch altrove ne gli conviene andare	
				ch a questa aventura ânno elli fallito	
				E Astor n à	
				si gran duolo	
				che non può rispondere motto	
			que este golpe fiço metiose		
			ansi entrela priesa		
1159	si trait l espee	Et trait lespee	e metio mano ala espada	e pien d ira	Si trait lespee
1160	et se fiert entre la gent le conte	si se fiert entre les gens le conte	e començo de ferir enla gente contraquien hera	sicché ne piagne degli occhi|E vengono a llor cavalli	et se fiert entre les gens au conte
1161|1162	si les en maine ferant jusques devant les loges ou les dames|et les damoiseles estoient apoies	& les maine ferant iusques es lisches ou les dames sestoient apoies	ansi que a fuerça los fiço yr contralos cadahalsos|do estauan las dueñas|e las donçellas	si montano	si les maine serant iusques aux loges ou les dães estoient apuyees:
1163|1164|1165|1166	Et quant il les a amenez tresque la|si tornent en fuies|kar plus ne pueent mes soffrir|Et lors commence la chace	Et quant il les ot menez iusques la|Si sen tornerent en fuies les gens le conte Car plus ne le pooient soffrir|Et lors commencha Cache	e desque Alli los llego començaron de fuir|ca mas no pudieron sufrir entonçes començo el alcançe luengamente	e se ne vanno|la faccia chinata inverso la terra sotto loro elmi|pensando|e dolorando della misaventura f	et quãt il les a menes iusq̃s la|si tournẽt en fuyant uers leur repaire|car plus ne osent estre au tournoirment|Et lors eõmenca la chasse
