,,micha_ii-48.txt,sommer_tome_4-ii-48.txt,lanzarote-ii-48.txt,lancellotto-ii-48.txt,inc-ii-48.txt,fr111-ii-48.txt,fr751-ii-48.txt
264,338,quant s em parti il — Par foi dame font il,& quant se parti il de chaiens|Dame ce dient cil,quando se fue Pordios buena señora,e quando se ne parti elli|? Per fé dama dicono elli,quant sen parti il|par ma foy,quant party il|par foy dame font ilz,quant sen ala il|Par foi dame
265,339,si tost com il vos en vit aler,si tost comme se il vous en vit aler,luego que vos de aqui partistes Mas dixonos|que luego venia,si tosto come ve ne vide andare,si tost|que uous feustes partie,si tost quil uous en uit aller il dist,si tost con il uous en uit aler
266,340|341,et dist qu il revendroit tost|— Par foi fet ele gabez nos a,et dist quil reuenroit tantost|par foy fait elle gabe nous a,Por buena fee dixo ella bien nos a engañado,e disse|che riverebbe tosto|— Per fé diss ella il vorre giàb,et dist quil reuendroit tantost|par ma foy dist la dame il nous a gabes,que il reuendroit tantost|Certes fait elle uous uous gabez,et dit quil reuandroit tost par foi signor gabe nos A
267,342,Lors demanda cele de Honguefort quels armes il portoit,ors demande cele de hongrefort queles armes il portoit,Que armas traia dixo la donçella de hongeforte,sAllor domanda quella d'Unguelforte|che arme elli portava,Lors demande celle de honguesford quelles armes il portoit,Lors demande celle de hunguefort quelz armes il portoit,Et lors demanda cele de honguefort ques armes il a
268,343|344,et ele li devise|En non Dieu fet ele je te trovai hui matin a l entree d une forest mes il ne portoit mie tel escu com cil,Et elle li deuise Enon dieu fait elle iou le trouuai hui matin a lentree dune forest,e la donçella selas deuiso Pordios dixo ella yo lo falle oy demañana envna floresta|mas no traia el tales armas Como,e la damigella gliel divisa|“Al nome di Dio diss ella io il trovai ogi mattino all entrata d una foresta ma e' non porta mica tale scudo come colui,et elle luy deuise|Eu nom dieu fait elle ie le trouuay huy matin a lentree de une forest|mes il ne portoit mye telles armes come celuy,et elle luy deuise|Certes fait elle ie le trouuae huy matin a lentree dune fourest|mais il ne portoit pas tel escu comme cil,et cele li deuise|En non dieu fait Se ioe lencontrai hui matin a lantree dune forest|mais il ne portoit mie tel escu
269,345|346,que je quier|— Bele cosine fet cele de laiens il le puet bien avoir changié,mais il ne portoit mie tels armes comme cils|que iou quier Bele cousine fait cele as de laiens|il lez puet bien auoir cangies,aquel que yo ando buscando Buena Parienta dixo la donçella del castillo el las puede auer bien trocado,ch io cheggio|—eBella cugina disse quella di là entro elli il potrebbe poscia bene avere cambiato,que ie quiers|belle cousine fait celle de leans il les peult bien auoir changiez,que ie quier Belle cousine fait celle de leans il le puet bien auoir despuis change,comme cil|que ie quier bele cousine fait cele de Iaiens il le puet bien auoir changie
270,347,et je vos di al mien cuidier,Et iou quit bien a mon escient,e yo vos digo ami cuidar,e vo dico al mio credere,et ie cuide bien a mon aduiz,et ie cuide bien a mon cuider,puis et ie uos di au mien cuidier
271,348|349|350,que ce est cil|que vos querez :|si vos prie,que che soit cil|que vous queres|Si vous pri,Que este es|el que bos buscades|e Ruego vos,che ciò est quelli cu' voi chiedete|Si vi priego,que cest celuy|que uous queres sy uous prie,que cest cil|que uous querez|si uous pry,que cest ciz|que uus querez|Si uous pri
272,351|352|353,que vos me laissiés o vos aler|tant que trové l aions|et lors savrai l acheison,que vous me laissies aler aueques vous|tant que nous laions trouue|Et lors,que me dexedes convos yr fasta Quelo fallemos|e sepa la rrazon,che voi mi lasciate con voi andare|tanto che trovato l abiate allora saprò io la cagione per,que me lessiez aller auecques uous|tant que laurens trouue,que me lessez aller o uous|tant que nous layons trouue,que uous me laissiez a uos Aler|tant que troue laions|et lors saurai locoson
273,354|355,por quoi il laissa mon ostel a tel ore|— Il m est molt bel fet cele de Honguefort,si nous dira locoison pourcoi il a laissie mon ostel en tel maniere|Il men est bel fait cele de hongrefort,Porque se fue demi castillo ental manera Mucho me Plaze dixo la donzella de ongeforte,ch egli à mio ostello lasciato a tale ora|— E' me n è molto bello disse quella d Unguelforte,Il mest monlt bel dyt celle de honguesfort,Et lors scauray lachoison pour quoy il a lesse mon houstel a telle heure Il mest moult bel fait celle de hunguefort,por coi il a laisier mon ostel a tel eure|il met moult bel fait cele de hongefort
274,356|357,que vos i viegniés|puis qu il vos plest,que vous y ueignies|puis quil vous plaist,Que vengades Pues vos plaze,che vo' vegniate da|che vo piace,que uous uiengnies auec moy|puis quil uous plaist,que uous y uieguez|quant il uous plaist,que uous i uangnerez de|que il uos plait
275,358|359,Ensi remistrent la nuit laiens|et al matin,Ensi remestrent cele nuit laiens|et lendemain,ansi fincaron toda aquella noche enla mañana tanto Como fue de dia se leuantaron,lnsi rimasono la notte là entro|e al mattino,ainsi demeurent la nuyt leans|et au matin,Ainsi demeurent la nuyt leans|Et au matin,Ainsi remesent laiens la nuit|et au matin
276,360|361,si tost com eles ! virent le jor|si leverent,quant il virent le ior sen alerent,,si tosto com'elle vidono il giorno|si levarono,quant ilz uirent le iour,si tost quelles uirent le iour se leuerent,si tost comme eles uirent le ior: se leuerent
277,362|363,et se partirent del chastel|et entrerent en la queste de lor chevalier,& partirent del castel|et entrerent en la queste del cheualier,e fueronse del castillo enla demanda del buen cauallero Agora dexa el cuento de fablar dellas,e si partirono dal castello|si entrarono nella chesta del loro cavaliere,si sen partirent du chastel|et entrerent en la queste de leur cheualier,et se partirent du chastel|si entrent en la queste de leur cheualier,et se partirent del chastel|Si entrent en la quese de lor cheualier
278,364,Mais or laisse atant li contes a parler d eles,Mais ore laisse li contes a parler daus,,Ma or lascia il conto atanto a parlare di loro,Or lessons maintenant le compte de boors,Mais or laisse le compte a parler deulx,mais or laisse li contes a parler atant deles
279,365,et de Boort,et de bohort,e de boores,e di Boordo,et des deux dames,et de boort,et de behort
280,366,et retorne a parler de Lancelot la ou il est entrez en la forest de Sarpenic,& retorne a parler de lancelot del lac|si comme il entra en la forest de la sapine,e torna A Lançarote|Que entro enla floresta Serpentina,e ritorna a parlare di Lancellotto là ov elli est entrato nella foresta di Sapernic,et retourons a parler de lancelot du lac le|quel est entre en la forest de la sapine,et retourne a parler de lancelot|quant il entra en la fourest de sarponie sicomme le compte a deuise,et retorne a parler de lancelot|la ou il est entrer en la forest de sarpenic GRant chaut cedit li contes fist le ior
281,,,,,,,Cy fine le comte,
282,367|368|369,si com li contes a devise ariers|Or dist li contes qu il fist grant chaut le jor|que Lancelos entra en la forest de Sarpenic,si comme li contes a deuise|? Ne dist li contes|que trop grant chaut fist celui ior|que lancelot fu entres en la forest de la sapine,Asi como el cuento lo a deuisado Dize el cuento|que gran calentura façia el dia|que lançarote entro enla floresta,si come il conto à divisato|Gran caldo ciò dice il conto fece il giorno|che Lancellotto entrò nella foresta di Sarpenic,Comment lancelot emporta le corps de gallehaut|que plusieurs cheualiers gardoient:,Et parle de lancelot du lac|Or dit le conte quil faisoit grant chault le iour|que lancelot entra en la fourest de serpeme,que lancelot|entra en la foret de sarpenic
283,370,et por ce ne remest il mie qu il ne chevalchast jusqu à none;,Et por chou ne remest il mie quil ne cheualchast iusques a nonne,mas poreso no finco|que el no andubiese todo el dia fasta nona,e per ciò e' non rimase passo|che non cavalcasse infin qua a nona,et comment il rescouist la seur de meleagant|que len uouloit ardre iiii,et pour ce ne demoura il pas quil ne cheuauchast iucqua nonne,et por ce ne remest il pas|que lancelot ne cheuanchast iusques a none
284,371|372|373|374,si li avint ensi qu il n encontra home ne feme jusqu al vespre;|mais lors sans faille|si com il dut issir de forest|qui tot le jor li ot duré encontra une damoisele,Si li auint ensi quil nencontra ne homme ne femme iusques a uespres|Mais lors sans faille|si comme il dut issir de la forest|si encontra vne damoisele,que no encontro ome ni muger|mas a hora de visperas sin falta|quando queria salir dela floresta|que todo el dia le auia durado encontro vna donzella,si gli avenne insi|che non incontrò huomo né femina insino a vespero|?Ma allora sanza fallo|si come dovea uscire della foresta|che tutto giorno gli avea durata|si incontrò elli una damigella,xx|xiiii,Si luy aduint quil nencontra homme ne femme iucqua uespres|mais lors quil deut yssir de la fourest|qui tout le iour luy auoit dure il encontra une damoisele,Si auint quil nancontra home ne fame iuscau uespre|mais lors sans faille|Si comme il dut issir de la forest|qui tote ior li ot dure|Si encontra une damoisele
285,375|376|377,qui molt faisoit grant duel|et chevalchoit I|palefroi noir a molt riehe lorain,qui moult faisoit grant doel|si cheualchoit vn moult riche palefroy a vn moult cointe lorain,que mucho façia gran duelo|e andaua envn palafren morçillo,che molto facea gran duolo|e cavalcava in uno palafreno nero a molto ricca sambuca,Grant chault fist dit le compie le iour|que lancelot fut entre en la sapinoie,qui moult faisoit grant deul|et cheuauchoit ung palefroy noir a moult riche loram,qui moult faissoit grant duel|et cheuauchoit|i|palefroi noir a moult riche lomin
286,378|379|380,et a molt cointe sele de l'oevre d Engleterre|Il salue la damoisele|et ele lui,& a vne sele dengletere Il salue la damoisele|& elle li rent son salut,que traia vna muy Rica silla y freno|e el saluo la donçella|e ella ael donzella dixo lançarote deçidme|porque llorades,e a molto bella sella dell opera d Inghilterra|e a molto ricco freno uno capelletto foderato di zendado in sua testa per lo caldo|E'saluta la damigella ed ella gli rende suo saluto molto cortesemente,et pour ce ne demoura il pas quil ne cheuauchast iusques a uespres sans rencentrer homme ne femme|Sicomme il deust issir dela forest il rencontra une damoiselle grant deul faisant montee sur ung coincte pallefroy|Il salue la damoiselle|et lui dit,et a moult cointe sele de lueure de angleterre Il salue la damoisele|et elle aussi luy,et a moult riche cele de lueure dangeterre|Il salue la damoisele|et ele autresi lui
287,381|382|383|384|385,Damoisele fet il|kar me dites s il vos plest|por quoi vos plorés|— Certes sire fet ele se je i' cuidoie avoir preu je le vos diroie|— Damage fet il ll i avrez vos ja se Dieu plest,Damoisele fet il sil vous plaisoit iou sauroie volentiers pourcoi vous plores|Sire certes dist elle se iou y|qui doie auoir aucun preu iou le vous diroie Damage fait il ni aurois vous ia se dieu plaist,si vos plaze çierto dixo la donçella|si yo supiese|que me vernia Prouecho enello yo voslo diria muy de grado çierto dixo donçella enmelo deçir no aueredes vos daño|si auos pluguiere|e vos dezidmelo|por conuenençia|que vos ayude yo a todo mi Poder en todas las cosas|que hubieredes menester|e espeçialmente enesta|por que vos llorades|Ca yo porne enello el mejor Remedio,Damigella disse Lancellotto|ch or mi dite ora perché vo piagnete|? — Certo sire diss ella s i vi credesse avere pro|si 'l vo dire' io,Dame dictes moy pour quoy uous plourez sil uous plaist Certes sire se ie y cuidoie auoir prouffit ie uous le diroie|Dommage fait il ny aurez uous ia se dieu plaist,Damoisele|fait il or me dictes pour quoy uous plourez|Certes fait elle|si ie y cuidoye auoir preu ie le uous diroye|Dommaige fait il ny aurez uous pas|si dieu plaist,Damoisele fait lancelot|car me dites ore ce il uos plait|que uos auez|et por coi uus plorez|Certes sire fait ele se ie i cuidoie auoir preu ie le uos diroie|Damage fait il ni aurez uos ia se dieu plait
288,386|387,mais dites le moi par covent que se je vos|puis aidier a vos esleecier je vos aiderai a mon pooir,Dites le moi par tel conuent que|? se iou vous|puis aidier a esclairier vostre cuer iou le ferai a mon pooir,que puede ser|si es cosa|que vos pueda ayudar Enel nombre de dios dixo la donçella pues vos os afincades tanto,— Damaggio disse Lancellotto non ci arete vo' già se Dio piace ma ditelme per convento che s i vo ne posso aiutare o consigliare io vo n atrò di tutto mio podere,car se ie uous|puis aider ie uous aideray a esclercir uostre cueur a mon pouoir,Mais dictes le moy par conuent|que si ie uous|puis aider a uous aider|it uous aideray a mon pouoir,Mais dites le moi par couant|que ie uos en aiderai a eslaicier|a mon paoir ce ie uos en
289,,,,,,,,puis aidier
290,,,,,,,En nom dieu sire fait elle,
291,,,Enon dieu sire fet elle,,,,,
292,388|389,donc le vos dirai je|ll est voirs,dont le vous dirai iou IL fu voirs,que vos diga enque manera es,— ll A nome di Dio diss ella dunque il vo dirò io|Egli è vero,Par dieu sire denc fait elle le uous diray ie|Il fut uoir,dont uous diray ie|Il est uoir,En non dieu sire fait ele|dont ie uos dirai ge|Il est uoirs
293,390|391,que Meleagans li fiz al roi Baldemagu ala a la cort le roi Artu|por la roine Genievre conquerre s il peust;,que melyagans li fiex au roy baudemagu ala a la cort au roy artu pour la royne genieure conquiere,e que cosa es lo|porque yo lloro yo voslo dire,che Meleagante il figliuolo del re Bando di Maguzo andò uguanno alla corte del re Artù per la reina Ginevra conquidere se potesse,que meleagant le filz du roy bademagus alla a la court du roy artus pouc la royne genieure conquerre,que meleagant le filz du rop bandemagu alla a la court du roy artus pour conquerre la royne genieure sil eust peu,que meleagant li fiz le roi bademagu ala oan a la cort le roi artu|Por la roine reconquerre ce il peust
